Sales,Quantity,Discount,Shipping Duration,Profit Margin,Sales per Quantity,Order Year,Order Month,Order Quarter,Order Day of Week,Ship Mode_Encoded,Segment_Encoded,Region_Encoded,Category_Encoded,Sub-Category_Encoded,Profit
261.96,2,0.0,3,0.16000000000000003,130.98,2016,11,4,1,2,0,2,0,4,41.9136
731.94,3,0.0,3,0.3,243.98000000000002,2016,11,4,1,2,0,2,0,5,219.582
14.62,2,0.0,4,0.47000000000000003,7.31,2016,6,2,6,2,1,3,1,10,6.8714
957.5775,5,0.45,7,-0.4,191.5155,2015,10,4,6,3,0,2,0,16,-383.031
22.368,2,0.2,7,0.1125,11.184,2015,10,4,6,3,0,2,1,14,2.5164
48.86,7,0.0,5,0.29,6.9799999999999995,2014,6,2,0,3,0,3,0,9,14.1694
7.28,4,0.0,5,0.27,1.82,2014,6,2,0,3,0,3,1,2,1.9656
907.152,6,0.2,5,0.09999999999999999,151.192,2014,6,2,0,3,0,3,2,13,90.7152
18.504,3,0.2,5,0.31249999999999994,6.168,2014,6,2,0,3,0,3,1,3,5.7825
114.9,5,0.0,5,0.3,22.98,2014,6,2,0,3,0,3,1,1,34.47
1706.184,9,0.2,5,0.05,189.576,2014,6,2,0,3,0,3,0,16,85.3092
911.424,4,0.2,5,0.07500000000000001,227.856,2014,6,2,0,3,0,3,2,13,68.3568
15.552,3,0.2,5,0.35000000000000003,5.184,2017,4,2,5,3,0,2,1,12,5.4432
407.976,3,0.2,5,0.32499999999999996,135.992,2016,12,4,0,3,0,3,1,3,132.5922
68.81,5,0.8,4,-1.8,13.762,2015,11,4,6,3,2,0,1,1,-123.858
2.544,3,0.8,4,-1.5,0.848,2015,11,4,6,3,2,0,1,3,-3.816
665.88,6,0.0,7,0.02,110.98,2014,11,4,1,3,0,0,1,14,13.3176
55.5,2,0.0,2,0.18,27.75,2014,5,2,1,2,0,3,1,14,9.99
8.56,2,0.0,5,0.29,4.28,2014,8,3,2,2,0,3,1,2,2.4824
213.48,3,0.2,5,0.075,71.16,2014,8,3,2,2,0,3,2,13,16.011
22.72,4,0.2,5,0.325,5.68,2014,8,3,2,2,0,3,1,3,7.384
19.46,7,0.0,4,0.25999999999999995,2.7800000000000002,2016,12,4,4,3,1,0,1,2,5.0596
60.34,7,0.0,4,0.25999999999999995,8.620000000000001,2016,12,4,4,3,1,0,1,1,15.6884
71.372,2,0.3,2,-0.014285714285714287,35.686,2017,7,3,6,2,0,1,0,5,-1.0196
1044.63,3,0.0,5,0.22999999999999998,348.21000000000004,2015,9,3,4,3,0,3,0,16,240.2649
11.648,2,0.2,4,0.36250000000000004,5.824,2016,1,1,5,2,0,3,1,3,4.2224
90.57,3,0.0,4,0.13,30.189999999999998,2016,1,1,5,2,0,3,2,0,11.7741
3083.43,7,0.5,4,-0.54,440.48999999999995,2015,9,3,3,3,0,1,0,4,-1665.0522
9.618,2,0.7,4,-0.7333333333333334,4.809,2015,9,3,3,3,0,1,1,3,-7.0532
124.2,3,0.2,4,0.125,41.4,2015,9,3,3,3,0,1,0,9,15.525
3.264,2,0.2,4,0.3375,1.632,2015,9,3,3,3,0,1,1,7,1.1016
86.304,6,0.2,4,0.11249999999999999,14.384,2015,9,3,3,3,0,1,1,2,9.7092
6.858,6,0.7,4,-0.8333333333333334,1.143,2015,9,3,3,3,0,1,1,3,-5.715
15.76,2,0.2,4,0.22499999999999998,7.88,2015,9,3,3,3,0,1,1,2,3.546
29.472,3,0.2,4,0.33749999999999997,9.824,2017,10,4,3,2,2,0,1,12,9.9468
1097.544,7,0.2,2,0.11249999999999999,156.792,2016,12,4,3,0,1,0,2,13,123.4737
190.92,5,0.6,2,-0.775,38.184,2016,12,4,3,0,1,0,0,9,-147.963
113.328,9,0.2,4,0.3125,12.592,2015,12,4,6,3,2,0,1,7,35.415
532.3992,3,0.32,4,-0.08823529411764706,177.4664,2015,12,4,6,3,2,0,0,4,-46.9764
212.058,3,0.3,4,-0.07142857142857144,70.68599999999999,2015,12,4,6,3,2,0,0,5,-15.147
371.168,4,0.2,4,0.1125,92.792,2015,12,4,6,3,2,0,2,13,41.7564
147.168,4,0.2,5,0.11249999999999999,36.792,2017,9,3,6,3,1,0,2,13,16.5564
